rowid,end_date,entry_date,cohort,cohort_label,notes,organisation,organisation_label,role,role_label,start_date
354,,,,,,local-authority:WSK,West Suffolk Council,local-planning-authority,Local Planning Authority,2019-04-01
355,,,,,,local-authority:WSM,City of Westminster,local-planning-authority,Local Planning Authority,
357,,,,,,local-authority:WYC,Wychavon District Council,local-planning-authority,Local Planning Authority,
358,,,,,,local-authority:WYE,Wyre Forest District Council,local-planning-authority,Local Planning Authority,
360,,,,,,local-authority:WYR,Wyre Borough Council,local-planning-authority,Local Planning Authority,
361,,,,,,local-authority:YOR,City of York Council,local-planning-authority,Local Planning Authority,1905-06-18
362,,,,,,national-park-authority:Q20198711,South Downs National Park Authority,local-planning-authority,Local Planning Authority,
363,,,,,,national-park-authority:Q27159704,Lake District National Park Authority,local-planning-authority,Local Planning Authority,
364,,,,,,national-park-authority:Q27178932,Yorkshire Dales National Park Authority,local-planning-authority,Local Planning Authority,
365,,,,,,national-park-authority:Q4972284,Broads Authority,local-planning-authority,Local Planning Authority,1978-01-01
366,,,,,,national-park-authority:Q5225646,Dartmoor National Park Authority,local-planning-authority,Local Planning Authority,
367,,,,,,national-park-authority:Q72617158,New Forest National Park Authority,local-planning-authority,Local Planning Authority,
368,,,,,,national-park-authority:Q72617669,North York Moors National Park Authority,local-planning-authority,Local Planning Authority,
369,,,,,,national-park-authority:Q72617784,Exmoor National Park Authority,local-planning-authority,Local Planning Authority,
370,,,,,,national-park-authority:Q72617890,Northumberland National Park Authority,local-planning-authority,Local Planning Authority,
371,,,,,,national-park-authority:Q72617988,Peak District National Park Authority,local-planning-authority,Local Planning Authority,
