entry-date,start-date,end-date,reference,name,organisations,local-plan,document-url,documentation-url,notes,description,document-types
2024-10-02,,,darlington-borough-council-local-plan-2016-32,SD10 HELAA 2017 - Part 6,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21507/sd10-helaa-2017_part6.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-33,SD13 Gypsy and Traveller accommodation assessment update 2017,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21239/sd13-darlington-gypsy-and-traveller-accommodation-update-report-october-2017.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-34,SD14 Gypsy and Traveller accommodation assessment 2014,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21240/sd14-darlington-gypsy-and-traveller-accommodation-assessment-2014.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-35,SD15 Darlington Future Employment Needs report 2017,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21241/sd15-darlington-future-employment-needs-report-2017.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-36,SD16 Employment Land review 2017,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21242/sd16-employment-land-review-2017.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-37,SD17 Employment Land review 2012,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21243/sd17-employment-land-review-2012.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-38,"SD22 Darlington Town Centre and Retail study, and retail study update 2017",local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21245/sd22-darlingtontown-centre-and-retail-study-and-retail-study-update-2017.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-39,SD23 Retail and Town Centre study 2014,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21246/sd23-retail-and-town-centre-study-2014.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-4,CD03 Darlington Borough Local Plan 2016-2036 (Regulation 19) Sustainability Appraisal,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21223/cd03-darlington-local-plan-proposed-submission-local-plan-2016-2036-sustainability-appraisal.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,sustainability-apprasial
2024-10-02,,,darlington-borough-council-local-plan-2016-40,SD24 Darlington Town Centre strategy 2019-2030,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21247/sd24-darlington-town-centre-strategy-2019-30.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-41,SD25 Town Centre action plan 2012,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21248/sd25-town-centre-action-plan-2012.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-42,SD26 Town Centre Fringe master plan 2013,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21249/sd26-town-centre-fringe-masterplan-2013.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-43,SD27 The Bank Top station masterplan,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21250/sd27-the-bank-top-station-masterplan.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-44,SD28 Local Green Space designation report January 2020,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21251/sd28-local-green-space-designation-report-2020-update.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-45,SD29 Heritage Impact Assessment update 2020,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21252/sd29-heritage-impact-assessment-update-2020.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-46,SD30 Heritage Impact Assessment - Part 1,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21508/sd30-heritage-impact-assessment-solstice-heritage-2019_part1.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-47,SD30 Heritage Impact Assessment - Part 2,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21509/sd30-heritage-impact-assessment-solstice-heritage-2019_part2.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-48,SD30 Heritage Impact Assessment - Part 3,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21510/sd30-heritage-impact-assessment-solstice-heritage-2019_part3.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-49,SD30 Heritage Impact Assessment - Part 4,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21511/sd30-heritage-impact-assessment-solstice-heritage-2019_part4.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-5,CD05 Statement of Common Ground including Duty to Co-operate,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21224/cd05-statement-of-common-ground.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-50,SD30 Heritage Impact Assessment - Part 5,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21512/sd30-heritage-impact-assessment-solstice-heritage-2019_part5.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-51,SD30 Heritage Impact Assessment - Part 6,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21513/sd30-heritage-impact-assessment-solstice-heritage-2019_part6.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-52,SD31 Landscape sensitivity of potential housing sites in Darlington Borough 2019,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21253/sd31-landscape-sensitivity-of-potential-housing-sites-in-darlington-borough-2019.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-53,SD32 The Impact of growth on demand for sports facilities 2019,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21254/sd32-the-impact-of-growth-on-demand-for-sports-facilities-2019.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-54,SD33 1825 Stockton and Darlington railway: Historic environment audit 2019 revision,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21255/sd33-1825-stockton-and-darlington-railway-historic-environmental-audit-2016-2019-rev.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-55,SD35 Darlington Landscape Character Assessment 2015,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21256/sd35-darlington-landscape-character-assessment-2015.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-56,SD38 Darlington Green Infrastructure Strategy 2009,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21257/sd38-darlington-green-infrastructure-strategy-2013-2026.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-57,SD39 Darlington Characterisation Study 2009,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21258/sd39-darlington-characterisation-study-2009.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-58,SD65 Blackwell Grange Park statement of significance,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21259/sd65-blackwell-grange-park-statement-of-significance.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-59,SD66 Strategic Modelling report,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21260/sd66-strategic-transport-modelling-report.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-6,CD07 Habitat Regulations Appropriate Assessment - screening report,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21225/cd07-habitat-regulations-assessmen-screening-report-2019.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-60,SD67 Coniscliffe Aimsun Modelling,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21261/sd67-coniscliffe-aimsun-modelling.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-61,SD68 North Darlington Aimsun Modelling,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21262/sd68-north-darlington-aimsun-modelling.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-62,SD69 A66 Corridor Vissim Model,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21263/sd69-a66-corridor-vissim-model.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,
2024-10-02,,,darlington-borough-council-local-plan-2016-7,CD08 Local Plan Viability Assessment,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21226/cd08-local-plan-viability-assessment.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,viability-assessment
2024-10-02,,,darlington-borough-council-local-plan-2016-8,Appendix A-F Residential viability testing study,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21227/cd08-appendix-a-f.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,viability-assessment
2024-10-02,,,darlington-borough-council-local-plan-2016-9,Appendix H-K - Costar export lease comps report,local-authority:DAL,darlington-borough-council-local-plan-2016,https://www.darlington.gov.uk/media/21229/cd08-appendix-h-k.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,,,viability-assessment
2024-10-02,,,dartford-borough-council-local-plan-2024-1,The Dartford Plan to 2037,local-authority:DAR,dartford-borough-council-local-plan-2024,https://www.dartford.gov.uk/downloads/file/2248/the-dartford-plan,https://www.dartford.gov.uk/policy-1/dartford-plan-2024/1,,,local-plan
2024-10-02,,,dartford-borough-council-local-plan-2024-2,Adoption Statement,local-authority:DAR,dartford-borough-council-local-plan-2024,https://www.dartford.gov.uk/downloads/file/2274/adoption-statement,https://www.dartford.gov.uk/policy-1/dartford-plan-2024/1,,Statement giving notice that the Dartford Local Plan to 2037 was adopted by the Dartford Borough Council on the 22 April 2024. ,adoption-statement
2024-11-25,,,dartmoor-local-plan-2018-2036,Dartmoor Local Plan 2018 - 2036,national-park-authority:Q5225646,local-plan-review-2018-2036,https://www.dartmoor.gov.uk/__data/assets/pdf_file/0015/410127/LP_Adopted.pdf,,,Adopted local plan for the Dartmoor National Park Authority,local-plan
2024-11-25,,,dartmoor-local-plan-2018-2036-adoption-statement,Dartmoor Local Plan 2018 - 2036 Adoption Statement ,national-park-authority:Q5225646,local-plan-review-2018-2036,https://www.dartmoor.gov.uk/__data/assets/pdf_file/0025/408247/2021-12-02_LOCAL_PLAN_Notice_of_Adoption.pdf,,,"Statement giving notice that the Dartmoor Local Plan was formally adopted by the Dartmoor National Park Authority on 3 December 2021.
",adoption-statement
2024-11-25,,,derby-city-local-plan-part-1-core-strategy,Derby City Local Plan - Part 1 Core Strategy,local-authority:DER,derby-city-local-plan-part-1-core-strategy,https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/planning/localplan/evidencebase/Core-Strategy_ADOPTED_DEC-2016_V3_WEB.pdf,,,The Core Strategy sets the overall strategic direction for planning the administrative area of Derby City over the period 2011 to 2028.,core-strategy
2024-11-25,,,derbyshire-dales-local-plan-adoption-statement,Derbyshire Dales Local Plan Adoption Statement,local-authority:DEB,derbyshire-dales-local-plan,https://www.derbyshiredales.gov.uk/documents/adoption-statement-final-dec-2017-2/download,,,"Statement giving notice that the Derbyshire Dales Local Plan 
was formally adopted by Derbyshire Dales District Council on 7th December 2017.",adoption-statement
2024-11-04,,,development-management-dpd,Development Management DPD,local-authority:EAL,development-strategy-2026,https://www.ealing.gov.uk/download/downloads/id/19450/development_management_dpd.pdf,https://www.ealing.gov.uk/info/201162/planning_policy/3124/development_plan,,,local-plan
2024-11-04,,,development-or-core-strategy-dpd,Development (or Core Strategy) DPD,local-authority:EAL,development-strategy-2026,https://www.ealing.gov.uk/download/downloads/id/19446/development_strategy_2026_-_development_plan_document.pdf,https://www.ealing.gov.uk/info/201162/planning_policy/3124/development_plan,,,core-strategy;local-plan
2024-11-04,,,development-sites-dpd,Development Sites DPD,local-authority:EAL,development-strategy-2026,https://www.ealing.gov.uk/download/downloads/id/19449/development_sites.pdf,https://www.ealing.gov.uk/info/201162/planning_policy/3124/development_plan,,,local-plan;site-allocations
2024-10-02,,,doncaster-metropolitan-borough-council-local-plan-2015-10,Doncaster Local Plan Adoption Statement,local-authority:DNC,doncaster-metropolitan-borough-council-local-plan-2015,https://dmbcwebstolive01.blob.core.windows.net:443/media/Default/Planning/Documents/Local%20Plan/Submission/Adoption%20Statement.pdf,https://www.doncaster.gov.uk/services/planning/local-plan,,Statement giving notice that on 23 September 2021 Doncaster Council adopted the Doncaster Local Plan as a development plan document.,adoption-statement
2024-10-15,,,draft-local-plan-for-regulation-18-consultation,Draft local plan for regulation 18 consultation,local-authority:CMD,camden-local-plan-2026,https://www.camden.gov.uk/documents/20142/4820180/Draft+New+Camden+Local+Plan+2024+v1.pdf/415cc7da-c24a-8237-ddc2-5c72045af9d2?t=1706548115256,https://www.camden.gov.uk/draft-new-local-plan,,,local-plan
2024-11-04,,,ealing-s-local-plan,Ealing's Local Plan,local-authority:EAL,london-borough-of-ealing-local-plan-2011,https://ealing.moderngov.co.uk/documents/g6325/Public%20reports%20pack%20Wednesday%2028-Feb-2024%20Ealings%20Draft%20Local%20Plan%20Regulation%2019%20Consultation%20D.pdf?T=10,https://www.ealing.gov.uk/info/201164/local_plan/3125/new_local_plan,,,local-plan
2024-10-02,,,east-cambridgeshire-district-council-local-plan-2013-13,"Adoption Statement: Local Plan 2015 (PDF, 0.)",local-authority:ECA,east-cambridgeshire-district-council-local-plan-2013,https://www.eastcambs.gov.uk/sites/default/files/Adoption%20statement%20-%20final.pdf,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-amended-2023,,,adoption-statement
2024-10-02,,,east-cambridgeshire-district-council-local-plan-2013-15,"Inspector's Report on the examination into the East Cambridgeshire Local Plan 2015 (PDF, 0.)",local-authority:ECA,east-cambridgeshire-district-council-local-plan-2013,https://www.eastcambs.gov.uk/sites/default/files/Inspector%27s%20Report_0.pdf,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-amended-2023,,,inspectors-report
2024-10-02,,,east-cambridgeshire-district-council-local-plan-2013-19,"Sustainability Appraisal of the Local Plan 2015 (PDF, 4.)",local-authority:ECA,east-cambridgeshire-district-council-local-plan-2013,https://www.eastcambs.gov.uk/sites/default/files/SA%20report%20of%20the%20April%202015%20Adopted%20LP%20-%20FINAL.pdf,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-amended-2023,,,sustainability-appraisal
2024-10-02,,,east-cambridgeshire-district-council-local-plan-2013-20,"Adoption Statement of the Sustainability Appraisal 2015 (PDF, 0.)",local-authority:ECA,east-cambridgeshire-district-council-local-plan-2013,https://www.eastcambs.gov.uk/sites/default/files/SA%20Adoption%20Statement%20-%20Apr%202015%20-%20Final.pdf,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-amended-2023,,,adoption-statement;sustainability-appraisal
2024-11-25,,,east-cambridgeshire-local-plan-2015-policies-map,East Cambridgeshire Local Plan 2015 Policies Map,local-authority:ECA,east-cambridgeshire-local-plan-single-issue-review,https://www.eastcambs.gov.uk/sites/default/files/District%20Proposal%20Map_50k_Colour%20%28resized%29.pdf,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-policies-map,,,policies-map
2024-10-02,,,east-devon-district-council-local-plan-2013-1,The Local Plan 2013-2031,local-authority:EDE,east-devon-district-council-local-plan-2013,https://eastdevon.gov.uk/media/1772841/Local-Plan-Final-Adopted-Plan-2016.pdf,https://eastdevon.gov.uk/planning/planning-policy/local-plan-2013-2031/,,,local-plan
2024-10-02,,,east-devon-district-council-local-plan-2013-21,Local Plan Adoption Statement,local-authority:EDE,east-devon-district-council-local-plan-2013,https://eastdevon.gov.uk/media/1515195/East-Devon-Local-Plan-Adoption-Notice-Jan-2016.pdf,https://eastdevon.gov.uk/planning/planning-policy/local-plan-2013-2031/,,,adoption-statement
2024-10-02,,,east-devon-district-council-local-plan-2013-7,Updated Sustainability Appraisal Report - August 2015,local-authority:EDE,east-devon-district-council-local-plan-2013,https://eastdevon.gov.uk/media/3724959/e-devon-lp-psd2015w-2-sareportincpropchangesaug2015.pdf,https://eastdevon.gov.uk/planning/planning-policy/local-plan-2013-2031/,,,sustainability-appraisal
2024-10-18,,,east-lindsey-core-strategy-and-settlement-proposals-dpd-report-final-may-2018,East Lindsey Core Strategy and Settlement Proposals DPD Report - Final - May 2018,local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/9021/East-Lindsey-Core-Strategy-and-Settlement-Proposals-DPD-Report-Final-May-2018/pdf/East_Lindsey_Core_Strategy_and_Settlement_Proposals_DPD_Report_-_Final_-_May_2018.pdf?m=1525354390860,https://www.e-lindsey.gov.uk/article/8455/Inspectors-Report,,,
2024-10-18,,,east-lindsey-core-strategy-and-settlement-proposals-dpd-report-final-may-2018-east-lindsey-district-council-local-plan-2018,East Lindsey Core Strategy and Settlement Proposals DPD Report - Final - May 2018,local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/9021/East-Lindsey-Core-Strategy-and-Settlement-Proposals-DPD-Report-Final-May-2018/pdf/East_Lindsey_Core_Strategy_and_Settlement_Proposals_DPD_Report_-_Final_-_May_2018.pdf?m=1525354390860,https://www.e-lindsey.gov.uk/article/8455/Inspectors-Report,,,inspectors-report
2024-10-18,,,east-lindsey-core-strategy-and-settlement-proposals-dpd-report-mm-appendix-a-final,East Lindsey Core Strategy and Settlement Proposals DPD Report - MM Appendix A - Final,local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/9022/East-Lindsey-Core-Strategy-and-Settlement-Proposals-DPD-Report-MM-Appendix-A-Final/pdf/East_Lindsey_Core_Strategy_and_Settlement_Proposals_DPD_Report_-_MM_Appendix_A_-_Final.pdf?m=1525354391140,https://www.e-lindsey.gov.uk/article/8455/Inspectors-Report,,,inspectors-report
2024-10-18,,,east-lindsey-core-strategy-and-settlement-proposals-dpd-report-mm-appendix-b-final,East Lindsey Core Strategy and Settlement Proposals DPD Report - MM Appendix B - Final,local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/9023/East-Lindsey-Core-Strategy-and-Settlement-Proposals-DPD-Report-MM-Appendix-B-Final/pdf/East_Lindsey_Core_Strategy_and_Settlement_Proposals_DPD_Report_-_MM_Appendix_B_-_Final.pdf?m=1525354391413,https://www.e-lindsey.gov.uk/article/8455/Inspectors-Report,,,inspectors-report
2024-10-02,,,east-lindsey-district-council-local-plan-2018-1,Core Strategy,local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/9791/Core-Strategy/pdf/Final_Version_of_Core_Strategy_2018.pdf?m=1546595473230,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,,,core-strategy
2024-10-02,,,east-lindsey-district-council-local-plan-2018-10,CD102 Addendum to the Sustainability Appraisal of the East Lindsey Core Strategy,local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/5985/CD102-Addendum-to-the-Sustainability-Appraisal-of-the-East-Lindsey-Core-Strategy/pdf/CD102_Addendum_to_the_Sustainability_Appraisal_of_the_East_Lindsey_Core_Strategy.pdf?m=1505729487247,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,,,sustainability-appraisal
2024-10-02,,,east-lindsey-district-council-local-plan-2018-11,CD102 East Lindsey Settlement Proposals Sustainability Appraisal November 2016 with Non Technical Summary,local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/5989/CD102-East-Lindsey-Settlement-Proposals-Sustainability-Appraisal-November-2016-with-Non-Technical-Summary/pdf/CD102_East_Lindsey_Settlement_Proposals_Sustainability_Appraisal_November_2016_with_Non_Technical_Su.pdf?m=1505729489143,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,,,sustainability-appraisal
2024-10-02,,,east-lindsey-district-council-local-plan-2018-12,CD102 Appendix 1 - Settlement Proposals Site Assessment Forms,local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/5990/CD102-Appendix-1-Settlement-Proposals-Site-Assessment-Forms/pdf/CD102_Appendix_1_-_Settlement_Proposals_Site_Assessment_Forms.pdf?m=1505729489720,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,,,
2024-10-02,,,east-lindsey-district-council-local-plan-2018-13,"CD102 Appendix 2 - Cumulative, Synergistic and Indirect Effects Table",local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/5991/CD102-Appendix-2-Cumulative-Synergistic-and-Indirect-Effects-Table/pdf/CD102_Appendix_2_-_Cumulative__Synergistic_and_Indirect_Effects_Table.pdf?m=1505729490323,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,,,
2024-10-02,,,east-lindsey-district-council-local-plan-2018-14,CD102 Appendix 3 - Gypsy and Traveller Sites,local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/6248/CD102-Appendix-3-Gypsy-and-Traveller-Sites/pdf/CD102_Appendix_3_-_Gypsy_and_Traveller_Sites.pdf?m=1506598402013,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,,,
2024-10-02,,,east-lindsey-district-council-local-plan-2018-15,Additional Modifications,local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/9939/Additional-Modifications/pdf/Additional_Modifications.pdf?m=1533116019953,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,,,
2024-10-02,,,east-lindsey-district-council-local-plan-2018-16,Schedule of Proposed Main Modifications to the Core Strategy Draft Local Plan (2017),local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/7732/Schedule-of-Proposed-Main-Modifications-to-the-Core-Strategy-Draft-Local-Plan-2017-ED056/pdf/ED056_Main_Mods_table_Core_Strategy_Version_5.pdf?m=1612263191610,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,,,
2024-10-02,,,east-lindsey-district-council-local-plan-2018-17,Schedule of Proposed Main Modifications to the Settlement Proposals DPD Draft Local Plan (2017),local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/7733/Schedule-of-Proposed-Main-Modifications-to-the-Settlement-Proposals-DPD-Draft-Local-Plan-2017-ED057/pdf/ED057_Main_Mods_table_SP_DPD_Revised_Version_2018.pdf?m=1612263203067,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,,,
2024-10-02,,,east-lindsey-district-council-local-plan-2018-18,Adoption Statement,local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/9940/Adoption-Statement/pdf/Adoption_Statement.pdf?m=1533116020207,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,,,adoption-statement
2024-10-02,,,east-lindsey-district-council-local-plan-2018-2,East Lindsey Settlement Proposals Development Plan Document,local-authority:ELI,east-lindsey-district-council-local-plan-2018,https://www.e-lindsey.gov.uk/media/15269/Adopted-Settlement-Proposals/pdf/AdoptedSettlementProposalsDocument.pdf?m=1579873492493,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,,,local-plan
